Departamentos,Municipio,confirmados,activos,fallecidos,recuperados,Latitud,Longitud
COCHABAMBA,AIQUILE,181,19,11,151,-18.20600257,-65.18201615
COCHABAMBA,ANZALDO,28,0,0,28,-17.7781429,-65.9321953
COCHABAMBA,ARANI,80,5,9,66,-17.57111898,-65.77141002
COCHABAMBA,ARBIETO,61,9,6,46,-17.58046115,-66.01932759
COCHABAMBA,ARQUE,4,0,3,1,-17.82788957,-66.40671942
COCHABAMBA,BOLIVAR,6,0,0,6,-17.96893957,-66.53668734
COCHABAMBA,CAPINOTA,128,6,8,114,-17.71006412,-66.26406029
COCHABAMBA,CHIMORE,200,11,13,176,-16.99651873,-65.15572909
COCHABAMBA,CLIZA,161,22,9,130,-17.59291239,-65.94016009
COCHABAMBA,COCAPATA,2,0,1,1,-16.77236072,-66.49623461
COCHABAMBA,COCHABAMBA,17030,772,969,15289,-17.40802885,-66.16328902
COCHABAMBA,COLCAPIRHUA,500,23,44,433,-17.39395319,-66.23130844
COCHABAMBA,COLOMI,62,5,5,52,-17.33990271,-65.86570321
COCHABAMBA,CUCHUMUELA (V. G.VILLARROEL),5,0,0,5,-17.65328463,-65.79423822
COCHABAMBA,ENTRE RIOS (BULO BULO),454,3,48,403,-17.25593321,-64.36323876
COCHABAMBA,INDEPENDENCIA,47,1,3,43,-17.08049698,-66.81702376
COCHABAMBA,MIZQUE,162,12,7,143,-17.94868826,-65.37739198
COCHABAMBA,MOROCHATA,1,0,1,0,-17.24080647,-66.55393243
COCHABAMBA,OMEREQUE,20,0,2,18,-18.11006776,-64.90928615
COCHABAMBA,PASORAPA,21,2,1,18,-18.32748002,-64.67932194
COCHABAMBA,POCONA,34,5,1,28,-17.65032158,-65.36633199
COCHABAMBA,POJO,17,0,0,17,-17.75721328,-64.8568426
COCHABAMBA,PUERTO VILLARROEL,516,11,39,466,-16.83965647,-64.7963315
COCHABAMBA,PUNATA,396,39,37,320,-17.54714075,-65.84036091
COCHABAMBA,QUILLACOLLO,2229,96,151,1982,-17.39045203,-66.28150328
COCHABAMBA,SACABA,1557,108,100,1349,-17.39809666,-66.03955193
COCHABAMBA,SACABAMBA,1,0,0,1,-17.8156465,-65.77705846
COCHABAMBA,SAN BENITO,190,18,11,161,-17.5150686,-65.89466589
COCHABAMBA,SANTIVAÑEZ,68,14,2,52,-17.54944498,-66.248722
COCHABAMBA,SHINAHOTA,276,4,15,257,-17.05707164,-65.34047713
COCHABAMBA,SICAYA,8,0,0,8,-17.80645167,-66.33257345
COCHABAMBA,SIPE SIPE,361,14,23,324,-17.4474274,-66.34554311
COCHABAMBA,TACACHI,1,0,1,0,-17.64165995,-65.80564856
COCHABAMBA,TACOPAYA,7,2,0,5,-17.84065209,-66.55347937
COCHABAMBA,TAPACARÍ,22,0,5,17,-17.51743354,-66.62227999
COCHABAMBA,TARATA,87,18,10,59,-17.609206,-66.0256679
COCHABAMBA,TIQUIPAYA,667,56,30,581,-17.15330704,-66.20988726
COCHABAMBA,TIRAQUE,20,1,5,14,-17.40047768,-65.72857489
COCHABAMBA,TOKO,38,1,3,34,-17.62960723,-65.92421585
COCHABAMBA,TOLATA,92,8,5,79,-17.53004715,-65.9665919
COCHABAMBA,TOTORA,67,2,1,64,-17.73586933,-65.1922673
COCHABAMBA,VACAS,19,0,2,17,-17.57916843,-65.57998898
COCHABAMBA,VILA VILA,5,2,0,3,-17.98017655,-65.63283545
COCHABAMBA,VILLA RIVERO,23,3,2,18,-17.61461026,-65.81207577
COCHABAMBA,VILLA TUNARI,248,8,20,220,-16.97462836,-65.42081464
COCHABAMBA,VINTO,427,21,47,359,-17.39150924,-66.31706705
